YopCode,Name,Faculty,DepartmentName,Language,City,UniversityType,Price,EducationType,Quota2022,Quota2021,Quota2020,Quota2019,Fullness,Settled2022,Settled2021,Settled2020,Settled2019,MinimumSuccessRank2022,MinimumSuccessRank2021,MinimumSuccessRank2020,MinimumSuccessRank2019,MinimumPoint2022,MinimumPoint2021,MinimumPoint2020,MinimumPoint2019
"111610025","İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA","Cerrahpaşa Tıp Fakültesi","Tıp","(İngilizce) (6 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","60+2","50+2","50+2","50+2","Doldu","62","52","52","52","716","495","418","313","542,35645","516,25336","545,11836","541,00845"
"202110426","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","Mühendislik Fakültesi","Elektrik-Elektronik Mühendisliği","(İngilizce) (Burslu) (4 Yıllık)","ANKARA","Vakıf","Burslu","Örgün","45+0","45+0","45+0","45+0","Doldu","45","45","45","45","811","797","790","614","541,58154","509,87017","541,42142","535,82875"
"108410336","ORTA DOĞU TEKNİK ÜNİVERSİTESİ","Mühendislik Fakültesi","Bilgisayar Mühendisliği","(İngilizce) (4 Yıllık)","ANKARA","Devlet","Ücretsiz","Örgün","105+3","105+3","105+3","105+3","Doldu","108","108","108","108","878","1.048","1.170","1.488","541,13361","505,31021","538,59468","526,62678"
"205110117","SABANCI ÜNİVERSİTESİ","Mühendislik ve Doğa Bilimleri Fakültesi","Mühendislik ve Doğa Bilimleri Programları","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","85+0","75+0","71+0","46+0","Doldu","85","75","71","46","1.054","1.316","1.600","1.507","539,99685","501,27981","535,93080","526,44729"
"102210286","BOĞAZİÇİ ÜNİVERSİTESİ","Mühendislik Fakültesi","Elektrik-Elektronik Mühendisliği","(İngilizce) (4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","90+3","90+3","80+2","80+2","Doldu","93","93","82","82","1.143","1.047","713","533","539,42958","505,32347","542,23147","537,25739"
"105510608","İSTANBUL TEKNİK ÜNİVERSİTESİ","Bilgisayar ve Bilişim Fakültesi","Bilgisayar Mühendisliği","(İngilizce) (4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","110+3","110+3","110+3","110+3","Doldu","113","113","113","113","1.179","1.821","2.450","2.580","539,22704","495,19952","531,68185","519,20048"
"203110035","İSTANBUL MEDİPOL ÜNİVERSİTESİ","Tıp Fakültesi","Tıp","(Burslu) (6 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","21+0","18+0","17+0","11+0","Doldu","21","18","17","11","1.292","559","443","942","538,56163","514,65882","544,78482","531,79824"
"204810176","ÖZYEĞİN ÜNİVERSİTESİ","Mühendislik Fakültesi","Bilgisayar Mühendisliği","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","10+0","10+0","10+0","6+0","Doldu","10","10","10","6","1.326","1.871","2.660","2.983","538,40974","494,70089","530,74250","516,84507"
"102210295","BOĞAZİÇİ ÜNİVERSİTESİ","Mühendislik Fakültesi","Endüstri Mühendisliği","(İngilizce) (4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","80+2","80+2","70+2","70+2","Doldu","82","82","72","72","1.448","1.617","1.260","1.206","537,73026","497,56044","537,91688","529,21381"
"204811077","ÖZYEĞİN ÜNİVERSİTESİ","Havacılık ve Uzay Bilimleri Fakültesi","Pilotaj (Fakülte)","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","6+0","5+0","5+0","5+0","Doldu","6","5","5","5","1.450","2.111","2.180","2.315","537,71229","492,18788","532,88237","520,89564"
"104810626","HACETTEPE ÜNİVERSİTESİ","Tıp Fakültesi","Tıp","(İngilizce) (6 Yıllık)","ANKARA","Devlet","Ücretsiz","Örgün","170+5","160+4","160+4","160+4","Doldu","175","164","164","164","1.482","957","870","904","537,51226","506,61965","540,81010","532,21498"
"205410114","TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ","Mühendislik Fakültesi","Bilgisayar Mühendisliği","(Burslu) (4 Yıllık)","ANKARA","Vakıf","Burslu","Örgün","15+0","15+0","15+0","15+0","Doldu","15","15","15","15","1.578","2.059","2.860","3.540","536,88931","492,67031","529,90537","513,91628"
"203910487","KOÇ ÜNİVERSİTESİ","Mühendislik Fakültesi","Makine Mühendisliği","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","14+0","13+0","12+0","9+0","Doldu","14","13","12","9","1.658","1.420","2.100","1.021","536,47553","499,97137","533,23960","530,98301"
"105590133","İSTANBUL TEKNİK ÜNİVERSİTESİ","Bilgisayar ve Bilişim Fakültesi","Yapay Zeka ve Veri Mühendisliği","(İngilizce) (4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","40+1","40+1","40+1","---","Doldu","41","41","41","---","1.686","2.861","4.200","---","536,37088","486,02770","524,80716","---"
"202110735","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","Mühendislik Fakültesi","Bilgisayar Mühendisliği","(İngilizce) (%50 İndirimli) (4 Yıllık)","ANKARA","Vakıf","%50 İndirimli","Örgün","35+0","35+0","35+0","35+0","Doldu","35","35","35","35","1.879","2.273","2.960","3.756","535,36269","490,88868","529,48326","512,91421"
"108410354","ORTA DOĞU TEKNİK ÜNİVERSİTESİ","Mühendislik Fakültesi","Elektrik-Elektronik Mühendisliği","(İngilizce) (4 Yıllık)","ANKARA","Devlet","Ücretsiz","Örgün","195+5","195+5","195+5","195+5","Doldu","200","200","200","200","2.094","2.505","2.570","2.214","534,31365","488,87035","531,08200","521,44610"
"203910451","KOÇ ÜNİVERSİTESİ","Mühendislik Fakültesi","Kimya-Biyoloji Mühendisliği","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","8+0","6+0","6+0","4+0","Doldu","8","6","6","4","2.098","2.088","2.630","2.016","534,30007","492,39071","530,84655","522,91737"
"202110126","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","Fen Fakültesi","Moleküler Biyoloji ve Genetik","(İngilizce) (Burslu) (4 Yıllık)","ANKARA","Vakıf","Burslu","Örgün","12+0","12+0","12+0","14+0","Doldu","12","12","12","14","2.110","3.831","6.790","11.452","534,25930","479,18227","517,17075","486,99782"
"202110444","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","Mühendislik Fakültesi","Endüstri Mühendisliği","(İngilizce) (Burslu) (4 Yıllık)","ANKARA","Vakıf","Burslu","Örgün","45+0","45+0","45+0","45+0","Doldu","45","45","45","45","2.192","2.690","3.130","3.170","533,82100","487,53684","528,79801","515,84319"
"206110759","YEDİTEPE ÜNİVERSİTESİ","Tıp Fakültesi","Tıp","(İngilizce) (Burslu) (6 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","13+0","15+0","14+0","8+0","Doldu","13","15","14","8","2.215","1.360","1.670","1.680","533,73308","500,86282","535,50116","525,21435"
"104810617","HACETTEPE ÜNİVERSİTESİ","Tıp Fakültesi","Tıp","(6 Yıllık)","ANKARA","Devlet","Ücretsiz","Örgün","220+6","210+6","210+6","200+5","Doldu","226","216","216","205","2.290","1.817","1.600","1.509","533,36889","495,26312","535,94131","526,44195"
"205490113","TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ","Mühendislik Fakültesi","Yapay Zeka Mühendisliği","(İngilizce) (Burslu) (4 Yıllık)","ANKARA","Vakıf","Burslu","Örgün","10+0","10+0","10+0","10+0","Doldu","10","10","10","10","2.291","2.828","3.910","4.537","533,35584","486,26747","525,78716","509,33051"
"204810113","ÖZYEĞİN ÜNİVERSİTESİ","Mühendislik Fakültesi","Elektrik-Elektronik Mühendisliği","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","9+0","9+0","9+0","5+0","Doldu","9","9","9","5","2.358","3.088","3.870","3.720","533,08774","484,20309","525,90550","513,03020"
"202110065","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","Fen Fakültesi","Fizik","(İngilizce) (Burslu) (4 Yıllık)","ANKARA","Vakıf","Burslu","Örgün","20+0","20+0","20+0","20+0","Doldu","20","20","20","20","2.449","3.608","3.950","6.755","532,65378","480,56970","525,65311","500,77190"
"112410952","ESKİŞEHİR TEKNİK ÜNİVERSİTESİ","Havacılık ve Uzay Bilimleri Fakültesi","Pilotaj (Fakülte)","(4 Yıllık)","ESKİŞEHİR","Devlet","Ücretsiz","Örgün","5+1","15+1","15+1","15+1","Doldu","6","16","16","16","2.457","4.167","4.520","6.051","532,61613","477,11740","523,60861","503,27408"
"111610016","İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA","Cerrahpaşa Tıp Fakültesi","Tıp","(6 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","260+7","260+7","260+7","270+7","Doldu","267","267","267","277","2.559","1.997","1.750","1.708","532,19053","493,31694","535,05972","525,03144"
"105510626","İSTANBUL TEKNİK ÜNİVERSİTESİ","Elektrik-Elektronik Fakültesi","Elektronik ve Haberleşme Mühendisliği","(İngilizce) (4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","60+2","60+2","60+2","60+2","Doldu","62","62","62","62","2.580","3.248","3.780","3.470","532,11871","483,00897","526,27015","514,35598"
"205410132","TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ","Mühendislik Fakültesi","Elektrik-Elektronik Mühendisliği","(Burslu) (4 Yıllık)","ANKARA","Vakıf","Burslu","Örgün","15+0","15+0","15+0","15+0","Doldu","15","15","15","15","2.651","3.784","3.600","3.688","531,84496","479,46809","526,85574","513,16671"
"102210329","BOĞAZİÇİ ÜNİVERSİTESİ","Mühendislik Fakültesi","Makine Mühendisliği","(İngilizce) (4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","80+2","80+2","70+2","70+2","Doldu","82","82","72","72","2.695","2.737","2.730","1.831","531,64691","487,14428","530,40529","524,25913"
"105611589","İSTANBUL ÜNİVERSİTESİ","İstanbul Tıp Fakültesi","Tıp","(İngilizce) (6 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","60+2","60+2","60+2","60+2","Doldu","62","62","62","62","2.712","2.227","1.900","1.863","531,58603","491,21925","534,19276","524,00223"
"202110877","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","Mühendislik Fakültesi","Makine Mühendisliği","(İngilizce) (Burslu) (4 Yıllık)","ANKARA","Vakıf","Burslu","Örgün","27+0","27+0","27+0","27+0","Doldu","27","27","27","27","2.813","3.594","3.790","2.811","531,18445","480,65509","526,24235","517,81888"
"206110592","YEDİTEPE ÜNİVERSİTESİ","Mühendislik Fakültesi","Bilgisayar Mühendisliği","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","15+0","15+0","15+0","10+0","Doldu","15","15","15","10","2.851","4.744","6.990","8.345","531,02104","474,18574","516,69240","495,50347"
"101190208","ANKARA ÜNİVERSİTESİ","Tıp Fakültesi","Tıp","(İngilizce) (6 Yıllık)","ANKARA","Devlet","Ücretsiz","Örgün","60+2","60+2","50+2","40+1","Doldu","62","62","52","41","3.042","2.750","2.240","2.351","530,28888","487,04137","532,59951","520,65196"
"104010122","GALATASARAY ÜNİVERSİTESİ","Mühendislik ve Teknoloji Fakültesi","Bilgisayar Mühendisliği","(Fransızca) (4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","30+1","30+1","30+1","30+1","Doldu","31","31","31","31","3.131","4.351","5.590","6.507","529,96125","476,17171","520,34824","501,69453"
"202110744","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","Mühendislik Fakültesi","Elektrik-Elektronik Mühendisliği","(İngilizce) (%50 İndirimli) (4 Yıllık)","ANKARA","Vakıf","%50 İndirimli","Örgün","35+0","35+0","35+0","35+0","Doldu","35","35","35","35","3.283","3.885","4.350","4.683","529,35840","478,87051","524,25447","508,76253"
"108410363","ORTA DOĞU TEKNİK ÜNİVERSİTESİ","Mühendislik Fakültesi","Endüstri Mühendisliği","(İngilizce) (4 Yıllık)","ANKARA","Devlet","Ücretsiz","Örgün","85+3","95+3","95+3","95+3","Doldu","88","98","98","98","3.346","4.529","5.480","5.825","529,13098","475,22891","520,69188","504,15641"
"203910099","KOÇ ÜNİVERSİTESİ","Fen Fakültesi","Kimya","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","6+0","8+0","8+0","8+0","Doldu","6","8","8","8","3.406","7.975","3.940","7.456","528,91414","461,41459","525,67638","498,34463"
"105510662","İSTANBUL TEKNİK ÜNİVERSİTESİ","İşletme Fakültesi","Endüstri Mühendisliği","(İngilizce) (4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","60+2","60+2","60+2","60+2","Doldu","62","62","62","62","3.437","4.810","5.750","5.726","528,81826","473,86016","519,89942","504,52188"
"203910706","KOÇ ÜNİVERSİTESİ","Tıp Fakültesi","Tıp","(İngilizce) (%50 İndirimli) (6 Yıllık)","İSTANBUL","Vakıf","%50 İndirimli","Örgün","42+0","42+0","36+0","46+0","Doldu","42","42","36","46","3.455","3.548","3.050","5.434","528,76167","481,07511","529,14844","505,67309"
"104810917","HACETTEPE ÜNİVERSİTESİ","Mühendislik Fakültesi","Bilgisayar Mühendisliği","(İngilizce) (4 Yıllık)","ANKARA","Devlet","Ücretsiz","Örgün","105+3","105+3","100+3","100+3","Doldu","108","108","103","103","3.576","5.248","7.200","11.743","528,35762","471,85230","516,14891","486,25401"
"200510437","BAHÇEŞEHİR ÜNİVERSİTESİ","Mühendislik ve Doğa Bilimleri Fakültesi","Bilgisayar Mühendisliği","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","15+0","15+0","15+0","10+0","Doldu","15","15","15","10","3.591","4.320","5.420","7.081","528,32918","476,32648","520,91105","499,60528"
"204810043","ÖZYEĞİN ÜNİVERSİTESİ","Mühendislik Fakültesi","Endüstri Mühendisliği","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","16+0","15+0","18+0","12+0","Doldu","16","15","18","12","3.646","5.793","8.470","6.046","528,18132","469,63081","513,28052","503,30146"
"105610634","İSTANBUL ÜNİVERSİTESİ","İstanbul Tıp Fakültesi","Tıp","(6 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","280+7","280+7","280+7","300+8","Doldu","287","287","287","308","4.030","3.035","2.810","2.609","526,92353","484,60119","530,08649","519,04441"
"101110775","ANKARA ÜNİVERSİTESİ","Tıp Fakültesi","Tıp","(6 Yıllık)","ANKARA","Devlet","Ücretsiz","Örgün","320+8","320+8","320+8","320+8","Doldu","328","328","328","328","4.353","3.761","3.300","3.305","525,98498","479,60367","528,03669","515,12096"
"105510565","İSTANBUL TEKNİK ÜNİVERSİTESİ","Elektrik-Elektronik Fakültesi","Elektronik ve Haberleşme Mühendisliği","(4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","110+3","110+3","110+3","110+3","Doldu","113","113","113","113","4.670","5.921","6.870","6.483","525,09606","468,99682","516,99957","501,77771"
"200511241","BAHÇEŞEHİR ÜNİVERSİTESİ","Tıp Fakültesi","Tıp","(İngilizce) (Burslu) (6 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","12+0","12+0","12+0","8+0","Doldu","12","12","12","8","4.691","3.232","3.240","2.829","525,03045","483,14508","528,34652","517,76318"
"200590143","BAHÇEŞEHİR ÜNİVERSİTESİ","Uygulamalı Bilimler Yüksekokulu","Pilotaj (Yüksekokul)","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","5+0","7+0","6+0","4+0","Doldu","5","7","6","4","4.806","6.152","5.500","6.316","524,67241","468,12882","520,64445","502,42825"
"204090110","KTO KARATAY ÜNİVERSİTESİ","Uygulamalı Bilimler Yüksekokulu","Pilotaj (Yüksekokul)","(Burslu) (4 Yıllık)","KONYA","Vakıf","Burslu","Örgün","4+0","5+0","5+0","5+0","Doldu","4","5","5","5","4.861","6.082","5.360","7.767","524,52858","468,43696","521,06312","497,32952"
"105510538","İSTANBUL TEKNİK ÜNİVERSİTESİ","Uçak ve Uzay Bilimleri Fakültesi","Uçak Mühendisliği","(4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","70+2","70+2","70+2","70+2","Doldu","72","72","72","72","4.973","6.019","5.980","6.144","524,25167","468,63334","519,29122","502,96542"
"108410381","ORTA DOĞU TEKNİK ÜNİVERSİTESİ","Mühendislik Fakültesi","Havacılık ve Uzay Mühendisliği","(İngilizce) (4 Yıllık)","ANKARA","Devlet","Ücretsiz","Örgün","85+3","90+3","90+3","90+3","Doldu","88","93","93","93","5.000","6.134","6.420","6.418","524,16765","468,18473","518,08843","502,06789"
"205410159","TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ","Mühendislik Fakültesi","Endüstri Mühendisliği","(Burslu) (4 Yıllık)","ANKARA","Vakıf","Burslu","Örgün","12+0","12+0","12+0","10+0","Doldu","12","12","12","10","5.018","8.143","10.000","7.573","524,11536","460,85117","510,01542","497,92882"
"200910027","BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ","Tıp Fakültesi","Tıp","(Burslu) (6 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","18+0","18+0","19+0","11+0","Doldu","18","18","19","11","5.026","4.353","4.000","3.033","524,09603","476,15769","525,48550","516,61848"
"110110031","YILDIZ TEKNİK ÜNİVERSİTESİ","Elektrik-Elektronik Fakültesi","Bilgisayar Mühendisliği","(4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","100+3","100+3","100+3","100+3","Doldu","103","103","103","103","5.056","8.476","11.200","13.683","524,01624","459,86273","507,61745","481,45033"
"206110026","YEDİTEPE ÜNİVERSİTESİ","Diş Hekimliği Fakültesi","Diş Hekimliği","(İngilizce) (Burslu) (5 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","9+0","10+0","10+0","7+0","Doldu","9","10","10","7","5.121","5.064","5.880","3.586","523,86661","472,73606","519,52985","513,64832"
"103410457","EGE ÜNİVERSİTESİ","Tıp Fakültesi","Tıp","(6 Yıllık)","İZMİR","Devlet","Ücretsiz","Örgün","310+8","310+8","310+8","340+9","Doldu","318","318","318","349","5.159","4.218","3.870","3.730","523,79669","476,85106","525,87804","513,00249"
"105510292","İSTANBUL TEKNİK ÜNİVERSİTESİ","İşletme Fakültesi","Endüstri Mühendisliği","(4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","80+2","80+2","80+2","80+2","Doldu","82","82","82","82","5.178","7.560","9.160","8.302","523,74226","462,80752","511,70520","495,63376"
"107210695","MARMARA ÜNİVERSİTESİ","Tıp Fakültesi","Tıp","(İngilizce) (6 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","210+6","200+5","200+5","190+5","Doldu","216","205","205","195","5.476","4.547","3.980","3.917","523,03541","475,14679","525,55429","512,15922"
"200690358","BAŞKENT ÜNİVERSİTESİ","Tıp Fakültesi","Tıp","(İngilizce) (Burslu) (6 Yıllık)","ANKARA","Vakıf","Burslu","Örgün","10+0","6+0","6+0","4+0","Doldu","10","6","6","4","5.521","4.307","3.590","3.337","522,91512","476,39622","526,92117","514,98241"
"200510561","BAHÇEŞEHİR ÜNİVERSİTESİ","Mühendislik ve Doğa Bilimleri Fakültesi","Yazılım Mühendisliği","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","15+0","15+0","15+0","10+0","Doldu","15","15","15","10","5.678","7.180","10.800","13.811","522,46167","464,18355","508,36983","481,19047"
"104890383","HACETTEPE ÜNİVERSİTESİ","Mühendislik Fakültesi","Yapay Zeka Mühendisliği","(İngilizce) (4 Yıllık)","ANKARA","Devlet","Ücretsiz","Örgün","40+1","40+1","30+1","30+1","Doldu","41","41","31","31","5.735","8.004","8.830","13.439","522,30677","461,33488","512,42750","482,06784"
"104110836","GAZİ ÜNİVERSİTESİ","Tıp Fakültesi","Tıp","(6 Yıllık)","ANKARA","Devlet","Ücretsiz","Örgün","300+8","290+8","290+8","290+8","Doldu","308","298","298","298","5.949","5.101","4.550","4.527","521,76896","472,55575","523,54399","509,36263"
"109610137","TÜRK-ALMAN ÜNİVERSİTESİ","Mühendislik Fakültesi","Bilgisayar Mühendisliği","(Almanca) (4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","50+2","50+2","50+2","45+2","Doldu","52","52","52","47","6.131","11.029","16.700","24.038","521,34753","452,32628","498,36405","460,69934"
"202110392","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","Mühendislik Fakültesi","Bilgisayar Mühendisliği","(İngilizce) (Ücretli) (4 Yıllık)","ANKARA","Vakıf","Ücretli","Örgün","80+0","80+0","80+0","80+0","Doldu","80","80","80","80","6.177","8.983","13.400","21.690","521,23829","458,25939","503,77536","464,94443"
"104010131","GALATASARAY ÜNİVERSİTESİ","Mühendislik ve Teknoloji Fakültesi","Endüstri Mühendisliği","(Fransızca) (4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","30+1","30+1","30+1","30+1","Doldu","31","31","31","31","6.233","8.645","10.100","10.522","521,08887","459,28449","509,81191","489,44272"
"205410326","TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ","Mühendislik Fakültesi","Bilgisayar Mühendisliği","(%50 İndirimli) (4 Yıllık)","ANKARA","Vakıf","%50 İndirimli","Örgün","25+0","25+0","25+0","25+0","Doldu","25","25","25","25","6.275","9.445","12.000","20.068","520,97850","456,82433","506,14478","467,95138"
"205710544","TÜRK HAVA KURUMU ÜNİVERSİTESİ","Hava Ulaştırma Fakültesi","Pilotaj (Fakülte)","(İngilizce) (Burslu) (4 Yıllık)","ANKARA","Vakıf","Burslu","Örgün","5+0","5+0","6+0","1+0","Doldu","5","5","6","1","6.305","7.497","7.730","4.493","520,89500","463,01830","514,92670","509,52886"
"108410433","ORTA DOĞU TEKNİK ÜNİVERSİTESİ","Mühendislik Fakültesi","Makine Mühendisliği","(İngilizce) (4 Yıllık)","ANKARA","Devlet","Ücretsiz","Örgün","180+5","190+5","190+5","190+5","Doldu","185","195","195","195","6.321","6.984","6.860","5.435","520,86585","464,88587","517,03220","505,67303"
"104111234","GAZİ ÜNİVERSİTESİ","Tıp Fakültesi","Tıp","(İngilizce) (6 Yıllık)","ANKARA","Devlet","Ücretsiz","Örgün","100+3","100+3","100+3","100+3","Doldu","103","103","103","103","6.428","5.681","4.980","5.176","520,57073","470,08166","522,22021","506,73558"
"200590176","BAHÇEŞEHİR ÜNİVERSİTESİ","Mühendislik ve Doğa Bilimleri Fakültesi","Yapay Zeka Mühendisliği","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","8+0","7+0","7+0","---","Doldu","8","7","7","---","6.489","8.569","11.200","---","520,45969","459,53573","507,52148","---"
"102210311","BOĞAZİÇİ ÜNİVERSİTESİ","Mühendislik Fakültesi","Kimya Mühendisliği","(İngilizce) (4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","70+2","70+2","70+2","70+2","Doldu","72","72","72","72","6.490","7.598","8.740","9.299","520,44865","462,69701","512,65274","492,72120"
